NCT_Number,Study_Title,EV_Source,Plotted_Value,Plotted_Route,Dose,Highest_Dose_Level,Dose_Units,Num_Doses,Dose_Frequency_Days,Dose_Notes,Route_of_Administration,Study_URL
NCT04493242,Extracellular Vesicle Infusion Treatment for COVID-19 Associated ARDS,Bone Marrow Derived Mesenchymal Stem Cells (MSCs),1050000000000.0,iv,"800 Billion, 1.2 trillion Extracellular Vesicles.",,,,,,Intravenous,https://clinicaltrials.gov/study/NCT04493242
NCT04313647,A Tolerance Clinical Study on Aerosol Inhalation of Mesenchymal Stem Cells Exosomes In Healthy Volunteers,Mesenchymal Stem Cells (MSCs),3200000000.0,inhalation,200000000,16X,nanovesicles/3 mL,1,NA,3ml,Inhalation,https://clinicaltrials.gov/study/NCT04313647
NCT05116761,ExoFlo‚Ñ¢ Infusion for Post-Acute COVID-19 and Chronic Post-COVID-19 Syndrome,Mesenchymal Stem Cells (MSCs),1050000000.0,iv,1050000000,,EVs,1,,,Intravenous,https://clinicaltrials.gov/study/NCT05116761
NCT04602104,A Clinical Study of Mesenchymal Stem Cell Exosomes Nebulizer for the Treatment of ARDS,Mesenchymal Stem Cells (MSCs),1600000000.0,inhalation,200000000,1600000000,particles,7,1,"basic treatment and 7 times aerosol inhalation of hMSC-Exos (2,.0 8.0, 16.0*10^8 particles at Day 1, Day 2, Day 3, Day 4, Day 5, Day 6, Day 7)",Inhalation,https://clinicaltrials.gov/study/NCT04602104
NCT06482541,Efficacy and Safety Of AGE ZERO‚Ñ¢ EXOSOMES To Treat Men and Women With Androgenetic Alopecia,Wharton Jelly Derived Mesenchymal Stem Cells (MSCs),50000000000.0,derm,5000000000,50000000000,exosomes,1,,,Transdermal,https://clinicaltrials.gov/study/NCT06482541
NCT04747574,Evaluation of the Safety of CD24-Exosomes in Patients With COVID-19 Infection,T-REx™-293 cells engineered to express CD24,10000000000.0,inhalation,100000000,10000000000,particles,5,1,,Inhalation,https://clinicaltrials.gov/study/NCT04747574
NCT06202547,Intra-ovarian Injection of MSC-EVs in Idiopathic Premature Ovarian Failure,Mesenchymal Stem Cells (MSCs),30000000000.0,other,30000000000,,Cells,1,NA,,Intra-ovarian,https://clinicaltrials.gov/study/NCT06202547
NCT05125562,Extracellular Vesicles Infusion Treatment for Mild-to-Moderate COVID-19,Bone Marrow Derived Mesenchymal Stem Cells (MSCs),1200000000000.0,iv,700000000000,1050000000000,EVs,1,1,,Intravenous,https://clinicaltrials.gov/study/NCT05125562
NCT04491240,Evaluation of Safety and Efficiency of Method of Exosome Inhalation in SARS-CoV-2 Associated Pneumonia.,Mesenchymal Stem Cells (MSCs),5000000000.0,inhalation,5000000000,20000000000,exosomes/3mL,20,0.5,Dose was 3 mls,Inhalation,https://clinicaltrials.gov/study/NCT04491240
NCT05787288,A Clinical Study on Safety and Effectiveness of Mesenchymal Stem Cell Exosomes for the Treatment of COVID-19.,Umbilical Cord Derived Mesenchymal Stem Cells (UCMSC),5000000000.0,inhalation,5000000000,,particles,5,0.5,,Inhalation,https://clinicaltrials.gov/study/NCT05787288
NCT04969172,"A Phase II Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Efficacy of Exosomes Overexpressing CD24 to Prevent Clinical Deterioration in Patients With Moderate or Severe COVID-19 Infection",Human Embryonic Kidney Cells,100000000000.0,other,100000000000,,Exosome Particles,1,,,NA,https://clinicaltrials.gov/study/NCT04969172
NCT04389385,COVID-19 Specific T Cell Derived Exosomes (CSTC-Exo),Mesenchymal Stem Cells (MSCs),200000000.0,iv,200000000,,nanovesicles/3 mL,5,1,CSTH-Exo treatment will be applied daily x 5 times (2.0 x 108 nano vesicle / 3 ml; on day 1 to day 5).,Intravenous,https://clinicaltrials.gov/study/NCT04389385
NCT05940610,The Safety and Efficacy of MSC-EVs in Acute/Acute-on-Chronic Liver Failure,Mesenchymal Stem Cell (MSC),100000000000.0,inhalation,100000000000,NA,particles/100 mL,4,7,100 ml is the dose,NA,https://clinicaltrials.gov/study/NCT05940610
NCT05774509,Treatment of Non-ischemic Cardiomyopathies by Intravenous Extracellular Vesicles of Cardiovascular Progenitor Cells,cardiovascular progenitor cells (differentiated from human induced pluripotent stem cells),3000000000000.0,iv,20000000000,40000000000,particles/kg,3,NS,,Intravenous,https://clinicaltrials.gov/study/NCT05774509
NCT04276987,A Pilot Clinical Study on Inhalation of Mesenchymal Stem Cells Exosomes Treating Severe Novel Coronavirus Pneumonia,Mesenchymal Stem Cells (MSCs),200000000.0,inhalation,200000000,,exosomes/3mL,5,1,Dose was 3 mls,Inhalation,https://clinicaltrials.gov/study/NCT04276987
NCT06138210,The Effect of GD-iExo-003 in Acute Ischemic Stroke,human induced pluripotent stem cell (GD-iExo-003),600000000000.0,iv,2000000000,8000000000,Particles/kg,7,1,Cohort 1: receive 2×10^9 particles/kg; cohort 2: 4×10^9 particles/kg and cohort 3: 8×10^9 particles/kg,Intravenous,https://clinicaltrials.gov/study/NCT06138210
NCT04491240,Evaluation of Safety and Efficiency of Method of Exosome Inhalation in SARS-CoV-2 Associated Pneumonia.,Mesenchymal Stem Cells (MSCs),20000000000.0,inhalation,5000000000,20000000000,exosomes/3mL,20,0.5,Dose was 3 mls,Inhalation,https://clinicaltrials.gov/study/NCT04491240
NCT06612710,The Safety and Efficacy of NouvSoma001 in Ischemic Stroke,Neural Stem Cells,300000000000.0,iv,4000000000,,particles/kg,7,1,,Intravenous,https://clinicaltrials.gov/study/NCT06612710
NCT04544215,A Clinical Study of Mesenchymal Progenitor Cell Exosomes Nebulizer for the Treatment of Pulmonary Infection,Mesenchymal Precursor Cells (MPCs),1600000000.0,inhalation,800000000,1600000000,nanovesicles/3 mL,7,1,3ml,NA,https://clinicaltrials.gov/study/NCT04544215
NCT04657406,Expanded Access to Zofin for Patients With COVID-19,Human amniotic fluid (HAF),500000000000.0,iv,1 mL containing 1E11 particles - 5E11 particles / mL,,,,,,NA,https://clinicaltrials.gov/study/NCT04657406
NCT04384445,Zofin (Organicell Flow) for Patients With COVID-19,Amniotic stem and Epithelial cells derived exosomes,500000000000.0,iv,200000000000,500000000000,particles/mL,3,4,1 ml is the dose,NA,https://clinicaltrials.gov/study/NCT04384445
NCT05043181,Exosome-based Nanoplatform for Ldlr mRNA Delivery in FH,Bone Marrow Derived Mesenchymal Stem Cells (MSCs),29600.0,iv,0.044,0.394,mg/kg,9,7,,Intravenous,https://clinicaltrials.gov/study/NCT05043181
NCT06429033,Purified Exosome Product (PEP) Injected Into the Hypodermis,N/A,150000.0,derm,75,2X,mg,1,NA,,Intradermal,https://clinicaltrials.gov/study/NCT06429033
NCT03437759,MSC-Exos Promote Healing of MHs,Mesenchymal Stem Cells (MSCs),20.0,other,20,50,µg MSC-Exo,1,,,NA,https://clinicaltrials.gov/study/NCT03437759
NCT06242379,Safety and Efficacy of Stem Cell Small Extracellular Vesicles in Patients With Retinitis Pigmentosa,Bone Marrow Derived Mesenchymal Stem Cells (MSCs),50.0,other,50,,µg sEVs,NS,NS,,Intravitreal,https://clinicaltrials.gov/study/NCT06242379
NCT05669144,Co-transplantation of Mesenchymal Stem Cell Derived Exosomes and Autologous Mitochondria for Patients Candidate for CABG Surgery,Mesenchymal Stem Cells (MSCs),100.0,other,100,NA,µg exosomes,1,NA,,NA,https://clinicaltrials.gov/study/NCT05669144
NCT03437759,MSC-Exos Promote Healing of MHs,Mesenchymal Stem Cells (MSCs),50.0,other,20,50,µg MSC-Exo,1,,,NA,https://clinicaltrials.gov/study/NCT03437759
NCT05969717,Induced Pluripotent Stem Cell Derived Exosomes for the Treatment of Atopic Dermatitis,Induced Pluripotent Stem Cells,50.0,derm,10,50,µg/mL GD-iEXo-001,28,0.5,one drop (50ul),Topical,https://clinicaltrials.gov/study/NCT05969717
