Loading_Method,Molecule_Type,N_Studies,Median_LC_Pct,Min_LC_Pct,Max_LC_Pct,Mean_LC_Pct
Biomimetics,Small,3,0.58,0.1,30.0,10.23
Biomimetics,oligo,13,57.89,22.81,382.46,109.04
Biomimetics,small,4,23.6,1.0,55.0,25.8
Cellular Loading,Oligo,2,0.2,0.17,0.24,0.2
Cellular Loading,Small,4,0.64,0.25,1.35,0.72
Chemical Permeablization,Large,1,30.83,30.83,30.83,30.83
Chemical Permeablization,Small,10,9.23,0.03,11.4,7.49
Chemical Permeablization,small,4,0.0,0.0,10.0,2.5
Electroporation,DNA,7,0.37,0.01,3.33,0.66
Electroporation,Large,1,4.0,4.0,4.0,4.0
Electroporation,Oligo,5,3.7,0.0,500.0,105.8
Electroporation,Small,4,1.92,0.11,10.0,3.49
Electroporation,small,1,0.0,0.0,0.0,0.0
Exo-Load device,small,1,0.0,0.0,0.0,0.0
Extrusion,Large,2,18.5,0.0,37.0,18.5
Extrusion,nanosheet,1,469.5,469.5,469.5,469.5
Extrusion,small,6,1.49,0.0,1700000.0,283334.59
Freeze thaw,Large,1,24.5,24.5,24.5,24.5
Freeze thaw,Small,1,1.05,1.05,1.05,1.05
Freeze thaw,small,4,13.63,0.0,2100000.0,525006.82
Genetic,Large,3,0.51,0.11,0.53,0.38
Genetic,Oligo,3,0.15,0.14,0.2,0.16
Incubation with cells,Small,1,15.1,15.1,15.1,15.1
Microfluidizer,small,3,12.31,10.22,27.5,16.68
Osmotic Shock,Small,4,1.33,1.2,83.49,21.84
Passive Diffusion,Small,1,1.01,1.01,1.01,1.01
Passive diffusion,DNA,8,6176.5,0.0,3100000.0,405919.21
Passive diffusion,Large,1,8.17,8.17,8.17,8.17
Passive diffusion,Oligo,4,0.69,0.1,5.38,1.71
Passive diffusion,Small,21,7.33,0.0,64.0,9.41
Passive diffusion,small,34,11.97,0.0,120.3,18.25
Sonication,DNA,1,0.18,0.18,0.18,0.18
Sonication,Large,5,32.8,31.8,43.5,36.18
Sonication,Oligo,3,0.45,0.32,0.45,0.41
Sonication,Small,10,6.77,0.12,33.0,12.65
Sonication,small,1,0.0,0.0,0.0,0.0
Surface conjugation,small,4,0.35,0.02,0.74,0.36
biosynthesis,Small,1,23.0,23.0,23.0,23.0
electroporation,DNA,2,7161.5,2323.0,12000.0,7161.5
electroporation,SMALL,2,19.0,17.0,21.0,19.0
electroporation,Small,1,5.3,5.3,5.3,5.3
electroporation,oligo,1,0.71,0.71,0.71,0.71
electroporation,small,5,0.46,0.0,18.8,3.99
sonication,Large,1,1.0,1.0,1.0,1.0
sonication,large,17,0.5,0.1,7.0,1.27
sonication,small,12,10.66,0.0,900000.0,75009.94
