DOI,PubMed_ID,Year,Source_Title,Cell_Source,Recipient_Cell,Target_Protein,Max_Effect_Pct,Dose,Dose_Response_Curve_YN,Concentration_Range,ED50_or_IC50,Notes,Paper_Link
10.3390/biology11101483,36290387,2022,Biology,HEK-293FT,HROG36 (GBM cell line); U87 MG (GBM cell line); BJ-5ta human fibroblasts,GAPDH,,,N,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9598886/pdf/biology-11-01483.pdf
10.1186/s13287-021-02401-x,34112262,2021,Stem Cell Research and Therapy,MSC,ATCC astrocytes,BDNF; TGFB1; CTGF,,50uL exo-sirna with 5E4 cells/well,N,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8193895/pdf/13287_2021_Article_2401.pdf
10.3389/fonc.2022.822805,35982974,2022,Frontiers in Oncology,dendritic cells,DLBCL cells; OCI-Ly8,BCL6,,12 mg of purified exosomes and 400 nM (for in vitro assay),N,,,,https://www.sciencedirect.com/science/article/pii/S2452199X21004333
10.1186/s12951-022-01696-z,36402996,2022,Journal of Nanobiotechnology,ADSC,M1 macrophages,MMP-9; MMP-2; MMP-13,,,N,,,,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-022-01696-z
10.3389/fphar.2022.882243,36120332,2022,Frontiers in Pharmacology,Adipose tissue dervied MSCs,HSCs,Opn; Col1a1; Acta2,,"1 ug, 5ug",N,,,,https://www.frontiersin.org/articles/10.3389/fphar.2022.882243/full
10.1126/sciadv.aba3967,33310840,2020,Science Advances,primary bone marrow derived immature dendritic cells,SNCA–mCherry–SH-SY5Y cells,SNCA; a-syn-mCherry,,,N,,,,https://www.science.org/doi/pdf/10.1126/sciadv.aba3967
10.1038/s41598-021-85242-1,33723306,2021,Scientific Reports,fibroblasts,SAS; HSC-3,LCP1,,10ug/mL,N,,,,https://www.nature.com/articles/s41598-021-85242-1
10.1016/j.jconrel.2022.03.036,35341901,2022,Journal of Controlled Release,bone marrow MSC,GBM cells,luciferase,,,N,,,,https://pdf.sciencedirectassets.com/271103/1-s2.0-S0168365922X00047/1-s2.0-S0168365922001626/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjELz%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIF8DeYQjG19H1o8UdN%2Bfi28i5o7rmpP755GKJxDc2%2FqyAiB7v1qBhU01cQui9Z%2FsiPOj0Dl%2BWxBeSg%2FuYHwEl%2BLzfSq7BQi1%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F8BEAUaDDA1OTAwMzU0Njg2NSIMa4Y%2Fm9JTIVs7jhlkKo8FBEmjQHEyM1EhVfKfHJ%2FYXNnknRjA0LXEqa1DZU9iaoH%2FhDMfneT006CYid36VuTxP9ana3xHBGLJHwVkq%2BPa7jg2L6G7oShXiOdp4PTWs2eysjXr12mW%2F%2FhDtoYLV%2BUNtcUdRmJAKk2jVgBQdpeQYkZiWLHajU210zq1XVhA0tWDf8paKcK8lp%2Bx309rbvBtbHZne2wUKRLLeQm3rsSjZfoZFZThYvDeW8N43GR47OOJFfIy4mmQgqCWpIxnW01c56jcg4we7%2BcaGWiaw5vtr8jZ6SrLjvwyQ4qqSLBJGbP28PNbw%2Fsdh%2B8Ymv7P9xNggkNg2l7RoTv4DaxdHZC3cvkQOFOnAykYGJ1V4Gso3JNMk%2BUF7TBCUja62p6mzBqbdpQG7A45LMtVzyYZ12MEHs3bgj%2BbbSSY4k%2FdA8PuizQxr4IpMQePKyTTARUbIa1mrLBDcfbKZB4b9wYw0A4GvaMo6nOdAjXTuNmriCOFvayXbRgnIjAMIv%2FW80alhzkyq9rYCDbawXCbOB5d9h4F69cpICxDjG2rPEi%2FzMB%2BkNMc3K3ecYC9O2jOUixJHXeMjAHOwqBlfnen0UWC7UAGipvmt3LnE9%2FwgTgEjzXARpNiqFDzM%2FV7DNjQ5JcVdweAnhSuLhGwJ8ObVU59hrQGTZKy%2F0OZvz%2FqPxZfqJpd8iotRLFyVfuuYFAZsJLG%2F6RmeMwbPnTJ24elXAj%2BfWMPa9XnQrH6dsEmc3cMyrnPWd3El%2B%2BkpqIGkZ1DzeMRbnV2wyZFj47ove378AbQh7RPm2aL9lvxzRLut8vs2yHNvk5iIhFhoEMA3tDtxTptR7G%2BIMqsbkfgHiH6Rj4E6kXHvH6UHpM6vGEDk1cDHLLiPDCvi9moBjqyAZ3KfFQhhWFTPn3yIxRlL6PSh64YYQpVFmlTPPK6X0XZ3waRNN6hlKCiLKrrpswBnvPp7X2nlPv0jIjiRTSdCkuU0jkp4aKl%2F%2Fnd3oWg79u5qY0SBkUj8dH41Z5%2FNZN6y5PwZMrETEOITAO7oGpE%2BFLldKbbAvn2R8wTQXmskyl7WEhyiqQNgfoTwQi39b%2BBhefl4ZDFO8iNfOUqtsXFSABUn6EWYIy5a1nrP4sd1ssXCgo%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230929T042148Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY72DMB23E%2F20230929%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=4af57b8c47b712b5dadf40b2d02c495187fbb7f464dbd55a83dae2752c7a1e0e&hash=e5f741df6ce1ddcf5df9574df38efe3d7a7dc113ce7ec0bd48790569c0dde434&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0168365922001626&tid=spdf-962a90af-f4f2-46b5-b35f-7fa5807c5106&sid=53b8a47b864eb742a60b8fe89928d4a5acaegxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=0f105b51035e59555451&rr=80e171038bb753ab&cc=us
10.1080/15384047.2021.2024040,35171081,2022,Cancer Biology and Therapy,WPMY-1 cell,LNCaP-AI cells,FLOH1; NKX3; DHRS7,,2ug/ul,N,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8855870/pdf/KCBT_23_2024040.pdf
10.1007/s12094-021-02682-x,34287816,2022,Clinical and Translational Oncology,HEK293T,Anaplastic thyroid carcinoma (ATC) cells; Hth-7 cells,SCD-1,,10nM; 100nM; 500nM,Y,"10nm, 100nm, 500nm",,,https://link.springer.com/article/10.1007/s12094-021-02682-x
