doi,link,adminstration,Dye type,Dye,modification,ev type (cell source),Cell Type,Time,treated with,conditions/notes,Targeted/Surface Modified EV?,Animal strain,diease model,Dose (num_value),Dose Units,By wt,units,Liver,Lung,Spleen,Kidney,Heart,Tumor,Bone,Brain,Pancreas,Muscle,Stomach,Intestine,L GIT,S GIT,Urine,Stool,thymus,blood,mLN,iLN,lymph nodes,thyroid
10.3390/ijms20215468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074487064&doi=10.3390%2fijms20215468&partnerID=40&md5=8695c1b2b7a6c81ad4b75989f7d98192,IV injection,Fluoroscent,DiD,,MSC,Stem cells,6h,,,no,6–8 weeks old male C57BL/6 mice,healthy,"2e8, 2e9, or 2e10",particles,by wt,*** Fluorescence/g organ weight OR Fluorescence/10 million marrow cells,91.71597633136095,1.1158072696534245,8.284023668639051,1.6229923922231604,0.13524936601859777,,,NA,,,,,,,,,,,,,,
10.3390/ijms20215468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074487064&doi=10.3390%2fijms20215468&partnerID=40&md5=8695c1b2b7a6c81ad4b75989f7d98192,IV injection,Fluoroscent,DiD,,MSC,Stem cells,6h,0 cGy+MSC Evs,,no,6–8 weeks old male C57BL/6 mice,healthy,"2e8, 2e9, or 2e11",particles,by wt,*** Fluorescence/g organ weight OR Fluorescence/10 million marrow cells,95.68345323741008,1.2086330935251801,4.316546762589928,NA,NA,,,NA,,,,,,,,,,,,,,
10.3390/ijms20215468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074487064&doi=10.3390%2fijms20215468&partnerID=40&md5=8695c1b2b7a6c81ad4b75989f7d98192,IV injection,Fluoroscent,DiD,exposed mice to 500 cGy of radiation,MSC,Stem cells,6h,500 cGy+MSC Evs,,no,6–8 weeks old male C57BL/6 mice,Radiation Injury Bone Marrow,"2e8, 2e9, or 2e13",particles,by wt,*** Fluorescence/g organ weight OR Fluorescence/10 million marrow cells,95.45454545454545,0.5133689839572192,4.545454545454552,NA,NA,,,NA,,,,,,,,,,,,,,
10.3390/ijms20215468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899577244&doi=10.3892%2fijmm.2014.1663&partnerID=40&md5=74a1e8b5bdc7b2cea5f7cbc8d4f44c49,IV injection,Fluoroscent,DiD,"compared two different labeling procedures, one based on direct EV labeling (DL-EV), and the other on the production of labeled EVs by donor cells pre-treated with the dye (LCD-EV). : i) Cells
were stained in suspension and incubated with 5 µM Vybrant Cell Tracers DiD solution without serum for 20 min at 37˚C. Cells were then washed in complete medium by centrifugation and cultivated for 24 h prior to supernatant collection. i) EVs were isolated by ultracentrifugation as previously described (LCD-EVs) (4,13). ii) EVs were directly labeled with 1 µM Vybrant Cell Tracers DiI or DiD during the ultracentrifugationn procedure (DL-EVs) and then washed twice by ultracentrifugation in 1X phosphate-buffered saline (PBS) (28).",MSC,Stem cells,5h,DL-EV,healthy mice,no,Male CD1 nude mice (6-8 weeks old),healthy mice,200,ug,,fluorescence,59.01639344262297,9.289617486338805,40.98360655737703,2.095909299831468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.jcyt.2024.04.074,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194167639&doi=10.1016%2fj.jcyt.2024.04.074&partnerID=40&md5=a6ad14e03f101b833f64af1bd558759f,IV injection,Fluoroscent,DiR,,huMSC,Stem cells,1h,hUCMSC-EV,,no,BALB/c,Healthy Mouse,30 ug,protein / 100 uL / mouse,,Photons / s,85.02246634299674,17.092681686017315,14.977533657003262,8.323392789976731,7.089366004537877,NA,NA,12.138281084442477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.ejphar.2023.175523,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160220596&doi=10.1016%2fj.ejphar.2023.175523&partnerID=40&md5=fb6205fbb63977bc689e9e4305a686dc,IV injection,Fluoroscent,DiR,,Human Umbilical Chord Mesenchymal Stem cell (hucMSC),Stem cells,3h,hucMSC-Exos,Healthy Control,no,C57BL/6 ,Heathly,n/a,n/a,,DiR intensity,51.02599179206566,34.06292749658002,48.97400820793434,41.4500683994528,21.203830369357046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s11307-020-01562-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096404947&doi=10.1007%2fs11307-020-01562-0&partnerID=40&md5=2ee18c4ab5db6a93f7c14351cfdef0ff,IV injection,Radio,111In,,WJ-MSC,Stem cells,1h,,,No,C57BL/6,N/A,1.5,MBq equivalents of 111 In-EVs,by wt,%ID/g,96.94537923893347,3.789800673052024,3.0546207610665235,16.40176028993005,2.0295107429458925,,,0.3727672793165888,,,,,,,,,,,,,,
10.1007/s11307-020-01562-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096404947&doi=10.1007%2fs11307-020-01562-0&partnerID=40&md5=2ee18c4ab5db6a93f7c14351cfdef0ff,IV injection,Radio,111In,,WJ-MSC,Stem cells,3h,,,No,C57BL/6,N/A,1.5,MBq equivalents of 111 In-EVs,by wt,%ID/g,95.93280282935457,4.526967285587965,4.067197170645441,28.67079280872375,1.9333922782198618,,,0.4244031830238676,,,,,,,,,,,,,,
10.1007/s11307-020-01562-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096404947&doi=10.1007%2fs11307-020-01562-0&partnerID=40&md5=2ee18c4ab5db6a93f7c14351cfdef0ff,IV injection,Radio,111In,,WJ-MSC,Stem cells,6h,,,No,C57BL/6,N/A,1.5,MBq equivalents of 111 In-EVs,by wt,%ID/g,97.31763166503106,2.51226692836114,2.682368334968931,27.6349362119726,1.6748446189074266,,,0.47105004906770975,,,,,,,,,,,,,,
10.1016/j.bj.2024.100721,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202189447&doi=10.1016%2fj.bj.2024.100721&partnerID=40&md5=4d6c9ea3b98cb80068ad55d81116793a,IV injection,Radio,Technetium-99m,Labeled with Technetium-99m,Human umblical cord mesenchymal stem cells (UMSC),Stem cells,30min,99mTc-UCMSC-EVs,,no,Balb/c,Healthy Mouse,20600000000,"particles / mL, ",by wt,%ID/g,95.4599203735199,1.4882779978933809,4.540079626480102,2.2387775948465136,NA,,,NA,,,,,,,,,,,,,,
