doi,link,adminstration,Dye type,Dye,modification,ev type (cell source),Cell Type,Time,treated with,conditions/notes,Targeted/Surface Modified EV?,Animal strain,diease model,Dose (num_value),Dose Units,By wt,units,Liver,Lung,Spleen,Kidney,Heart,Tumor,Bone,Brain,Pancreas,Muscle,Stomach,Intestine,L GIT,S GIT,Urine,Stool,thymus,blood,mLN,iLN,lymph nodes,thyroid
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103113959&doi=10.3390%2fpharmaceutics13030427&partnerID=40&md5=840f43f69d18ad7edbdfd4ab2797c077,IV injection,Fluoroscent,DiR,,HEK293T,HEK,1h,,healthy mice,No,C57BL/6,N/A,3000000000,particles,,Fluorescence intensity %,68.2051282051282,0.2564102564102474,31.794871794871792,0.2564102564102474,NA,NA,NA,NA,NA,NA,NA,3.076923076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103113959&doi=10.3390%2fpharmaceutics13030427&partnerID=40&md5=840f43f69d18ad7edbdfd4ab2797c077,IV injection,Fluoroscent,DiR,,HEK293T,HEK,2h,,,No,C57BL/6,N/A,3000000000,particles,,Fluorescence intensity %,68.02721088435374,0,31.97278911564626,0,NA,NA,NA,0,NA,NA,NA,2.7210884353741385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103113959&doi=10.3390%2fpharmaceutics13030427&partnerID=40&md5=840f43f69d18ad7edbdfd4ab2797c077,IV injection,Fluoroscent,DiR,,HEK293T,HEK,4h,,,No,C57BL/6,N/A,3000000000,particles,,Fluorescence intensity %,72.65625,NA,27.34375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089734565&doi=10.1080%2f20013078.2020.1800222&partnerID=40&md5=2f97fc3207040c627d8a176b3288ac3c,IV injection,Fluoroscent,DIR ,explored the bioluminescent labelling of EVs using different luciferase enzymes tethered to CD63 to achieve a highly sensitive system for in vitro and in vivo tracking of EVs. Using tetraspanin fusions to either NanoLuc or ThermoLuc permits performing highly sensitive in vivo quantification of EVs or realtime imaging,HEK293T,HEK,30min,CD9-Thermoluc EVs with DiR (DiR value),,no,female NMRI mice with a bodyweight of around 20 g,healthy,100000000000,particles,,% of distribution of detected Evs,82.11381685504654,43.089432232797954,17.886183144953453,5.058415488517261,2.5449179578648526,NA,NA,2.7962665584910553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016490706&doi=10.3402%2fjev.v4.26316&partnerID=40&md5=8a6344dffbdcd903aee2e7ddeff8c265,IV injection,Fluoroscent,DiR,,HEK293T,HEK,5min,,,No,Female NMRI or C57BL/6 mice,,"1.5e10, 1e10, or 0.25e10 for regular EVs. 2.9e10 for E-GFP",particles/g body weight,,% fluorescence,70.6948640483384,29.909365558912356,29.305135951661597,NA,NA,NA,NA,NA,3.92749244712991,NA,NA,3.6253776435045326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016490706&doi=10.3402%2fjev.v4.26316&partnerID=40&md5=8a6344dffbdcd903aee2e7ddeff8c265,IV injection,Fluoroscent,DiR,,HEK293T,HEK,30min,,,No,Female NMRI or C57BL/6 mice,,"1.5e10, 1e10, or 0.25e10 for regular EVs. 2.9e10 for E-GFP",particles/g body weight,,% fluorescence,74.70997679814387,6.728538283062649,25.290023201856133,NA,NA,NA,NA,NA,2.5522041763341106,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016490706&doi=10.3402%2fjev.v4.26316&partnerID=40&md5=8a6344dffbdcd903aee2e7ddeff8c265,IV injection,Fluoroscent,DiR,,HEK293T,HEK,1h,,,No,Female NMRI or C57BL/6 mice,,"1.5e10, 1e10, or 0.25e10 for regular EVs. 2.9e10 for E-GFP",particles/g body weight,,% fluorescence,78.9873417721519,8.354430379746834,21.0126582278481,NA,NA,NA,NA,NA,2.5316455696202453,NA,NA,7.341772151898736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016490706&doi=10.3402%2fjev.v4.26316&partnerID=40&md5=8a6344dffbdcd903aee2e7ddeff8c265,IV injection,Fluoroscent,DiR,,HEK293T,HEK,3h,,,No,Female NMRI or C57BL/6 mice,,"1.5e10, 1e10, or 0.25e10 for regular EVs. 2.9e10 for E-GFP",particles/g body weight,,% fluorescence,76.0989010989011,10.714285714285724,23.901098901098905,NA,NA,NA,NA,NA,3.8461538461538494,NA,NA,13.461538461538492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1002/jev2.12489,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198650461&doi=10.1002%2fjev2.12489&partnerID=40&md5=02be52f9ab43a3ba797cecea9da01343,IV injection,Fluoroscent,IRDye 800CW,,HEK293F,HEK,30min,IRDye800CW‐labelled EVMs ,,no,Male BALB/c nude (CAnN. Cg‐Foxn1 nu/CrlOri),Healthy Mouse,100000000000,particles in 100 uL,,SNR,85.25598438667447,26.01885606418477,14.744015613325532,30.788975441383222,3.9028279391200758,NA,NA,NA,NA,NA,NA,4.986947177048261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1002/jev2.12489,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198650461&doi=10.1002%2fjev2.12489&partnerID=40&md5=02be52f9ab43a3ba797cecea9da01344,IV injection,Fluoroscent,IRDye 800CW,,HEK293F,HEK,3h,IRDye800CW‐labelled EVMs ,,no,Male BALB/c nude (CAnN. Cg‐Foxn1 nu/CrlOri),Healthy Mouse,100000000000,particles in 100 uL,,SNR,77.05595621137081,11.793665367572732,22.944043788629184,35.3809961027182,2.3587330735145464,NA,NA,NA,NA,NA,NA,6.647339084735308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
