doi,link,adminstration,Dye type,Dye,modification,ev type (cell source),Cell Type,Time,treated with,conditions/notes,Targeted/Surface Modified EV?,Animal strain,diease model,Dose (num_value),Dose Units,By wt,units,Liver,Lung,Spleen,Kidney,Heart,Tumor,Bone,Brain,Pancreas,Muscle,Stomach,Intestine,L GIT,S GIT,Urine,Stool,thymus,blood,mLN,iLN,lymph nodes,thyroid
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103113959&doi=10.3390%2fpharmaceutics13030427&partnerID=40&md5=840f43f69d18ad7edbdfd4ab2797c077,IV injection,Fluoroscent protein,DiR,,HEK293T,HEK,2h,,,No,C57BL/6,N/A,3000000000,particles,,Fluorescence intensity %,68.02721088435374,0,31.97278911564626,0,NA,NA,NA,0,NA,NA,NA,2.7210884353741385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103113959&doi=10.3390%2fpharmaceutics13030427&partnerID=40&md5=840f43f69d18ad7edbdfd4ab2797c077,IV injection,Fluoroscent protein,DiR,,HEK293T,HEK,4h,,,No,C57BL/6,N/A,3000000000,particles,,Fluorescence intensity %,72.65625,NA,27.34375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103113959&doi=10.3390%2fpharmaceutics13030427&partnerID=40&md5=840f43f69d18ad7edbdfd4ab2797c077,IV injection,Fluoroscent protein,DiR,,HEK293T,HEK,8h,,,No,C57BL/6,N/A,3000000000,particles,,Fluorescence intensity %,88.50574712643684,6.896551724137899,11.494252873563154,13.793103448275874,2.2988505747126347,NA,NA,3.448275862068917,NA,NA,NA,304.5977011494256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3402/jev.v4.26316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016490706&doi=10.3402%2fjev.v4.26316&partnerID=40&md5=8a6344dffbdcd903aee2e7ddeff8c265,IV injection,Fluoroscent protein,DiR,,HEK293T,HEK,3h,,,No,Female NMRI or C57BL/6 mice,,"1.5e10, 1e10, or 0.25e10 for regular EVs. 2.9e10 for E-GFP",particles/g body weight,,% fluorescence,76.0989010989011,10.714285714285724,23.901098901098905,NA,NA,NA,NA,NA,3.8461538461538494,NA,NA,13.461538461538492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.7150/thno.87484,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172829423&doi=10.7150%2fthno.87484&partnerID=40&md5=33867ff276def5c9b46b6ba446582b3e,IV injection,Fluoroscent protein,DiR,Unmodified control,HEK293T,HEK,12h,EVCtrl,,Yes control,ApoE-/-,Atherosclerosis,200,ug,,Relative fluoresence intensity ,49.48453141938431,51.030962290104796,50.51546858061569,52.061849193589325,48.45364451589979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1002/jev2.12489,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198650461&doi=10.1002%2fjev2.12489&partnerID=40&md5=02be52f9ab43a3ba797cecea9da01344,IV injection,Fluoroscent protein,IRDye 800CW,,HEK293F,HEK,3h,IRDye800CW‐labelled EVMs ,,no,Male BALB/c nude (CAnN. Cg‐Foxn1 nu/CrlOri),Healthy Mouse,100000000000,particles in 100 uL,,SNR,77.05595621137081,11.793665367572732,22.944043788629184,35.3809961027182,2.3587330735145464,NA,NA,NA,NA,NA,NA,6.647339084735308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.jconrel.2022.11.029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142176348&doi=10.1016%2fj.jconrel.2022.11.029&partnerID=40&md5=538e02bc465ed78c949ad0dfeb1b481e,IV injection,Fluoroscent protein,DiR,,hair follicle-MSC,Stem cells,12h,,NC (normal control) group,No,C57BL/6J (Specific pathogen free),Control,"100 (2x doses, total 200)",micrograms,,Fluorescence Intensity (Counts),42.8246013667427,39.179954441913424,57.175398633257316,15.034168564920266,2.733485193621862,NA,NA,NA,7.972665148063772,NA,NA,18.223234624145782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.jconrel.2020.01.042,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078679403&doi=10.1016%2fj.jconrel.2020.01.042&partnerID=40&md5=9c1fe4cecbbb88d44b0f666348c00586,IV injection,Fluoroscent protein,cyanine 5.5 N-hydroxysuccinimide (NHS) monoester,,adipose derived stem cells,Stem cells,3h,,normal mice,No,male C57BL/6,N/A,200,microliters,,Fluorescence intensity,98.91891891891892,5.945945945945954,1.0810810810810847,3.783783783783792,0.5405405405405295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.7150/thno.43968,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088882271&doi=10.7150%2fthno.43968&partnerID=40&md5=e910bbaa10becb830553b2e943b64a0a,IV injection,Fluoroscent protein,DiR,,brown adipose tissue,Stem cells,4h,,,No,male C57BL/6J mice aged 8 weeks,obesity,100,ug,,Fluorescence intensity,83.2,9.20000000000002,16.799999999999997,2.7999999999999936,1.5999999999999914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3892/ijmm.2014.1663,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899577244&doi=10.3892%2fijmm.2014.1663&partnerID=40&md5=74a1e8b5bdc7b2cea5f7cbc8d4f44c49,IV injection,Fluoroscent protein,DiD,"compared two different labeling procedures, one based on direct EV labeling (DL-EV), and the other on the production of labeled EVs by donor cells pre-treated with the dye (LCD-EV). : i) Cells
were stained in suspension and incubated with 5 µM Vybrant Cell Tracers DiD solution without serum for 20 min at 37˚C. Cells were then washed in complete medium by centrifugation and cultivated for 24 h prior to supernatant collection. i) EVs were isolated by ultracentrifugation as previously described (LCD-EVs) (4,13). ii) EVs were directly labeled with 1 µM Vybrant Cell Tracers DiI or DiD during the ultracentrifugationn procedure (DL-EVs) and then washed twice by ultracentrifugation in 1X phosphate-buffered saline (PBS) (28).",MSC,Stem cells,5h,DL-EV,healthy mice,no,Male CD1 nude mice (6-8 weeks old),healthy mice,200,ug,,fluorescence,59.01639344262297,9.289617486338805,40.98360655737703,2.095909299831468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/s13287-023-03472-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171132470&doi=10.1186%2fs13287-023-03472-8&partnerID=40&md5=dd532ee95b5f75d38818b85bcdb3e7a10,IV injection,Fluoroscent protein,DiR,,Human Umbilical Chord Mesenchymal Stem cell (hucMSC),Stem cells,3h,MSC-EV,Healthy Control,no,C57BL/6,Acute lung injury,15,ug,,Radient efficiency (p/s/cm2/sr) / (uW/cm2) x 10^6,59.21990344580964,121.0248026769521,40.78009655419035,1.092748218345299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
