doi,link,adminstration,Dye type,Dye,modification,ev type (cell source),Cell Type,Time,treated with,conditions/notes,Targeted/Surface Modified EV?,Animal strain,diease model,Dose (num_value),Dose Units,By wt,units,Liver,Lung,Spleen,Kidney,Heart,Tumor,Bone,Brain,Pancreas,Muscle,Stomach,Intestine,L GIT,S GIT,Urine,Stool,thymus,blood,mLN,iLN,lymph nodes,thyroid
10.3390/pharmaceutics13030427,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103113959&doi=10.3390%2fpharmaceutics13030427&partnerID=40&md5=840f43f69d18ad7edbdfd4ab2797c077,IV injection,lipid,DiR,,HEK293T,HEK,24h,,,No,C57BL/6,N/A,3000000000,particles,,Fluorescence intensity %,87.7551020408164,6.12244897959175,12.244897959183616,16.326530612244845,2.040816326530542,NA,NA,2.040816326530542,NA,NA,NA,130.61224489795927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3402/jev.v4.26316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016490706&doi=10.3402%2fjev.v4.26316&partnerID=40&md5=8a6344dffbdcd903aee2e7ddeff8c265,IV injection,lipid,DiR,,HEK293T,HEK,24h,0.25E10 p/g of HEK293T Evs,,No,Female NMRI or C57BL/6 mice,,"1.5e10, 1e10, or 0.25e10 for regular EVs. 2.9e10 for E-GFP",particles/g body weight,,% fluorescence,85.99439775910363,1.9607843137254926,14.005602240896359,NA,NA,NA,NA,NA,0.8403361344537816,NA,NA,6.4425770308123225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3402/jev.v4.26316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016490706&doi=10.3402%2fjev.v4.26316&partnerID=40&md5=8a6344dffbdcd903aee2e7ddeff8c265,IV injection,lipid,DiR,,HEK293T,HEK,24h,1E10 p/g of HEK293T Evs,,No,Female NMRI or C57BL/6 mice,,"1.5e10, 1e10, or 0.25e10 for regular EVs. 2.9e10 for E-GFP",particles/g body weight,,% fluorescence,83.33333333333336,9.375,16.666666666666647,NA,NA,NA,NA,NA,3.125000000000004,NA,NA,21.527777777777732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3402/jev.v4.26316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016490706&doi=10.3402%2fjev.v4.26316&partnerID=40&md5=8a6344dffbdcd903aee2e7ddeff8c265,IV injection,lipid,DiR,,HEK293T,HEK,24h,1.5E10 p/g of HEK293T Evs,,No,Female NMRI or C57BL/6 mice,,"1.5e10, 1e10, or 0.25e10 for regular EVs. 2.9e10 for E-GFP",particles/g body weight,,% fluorescence,82.46268656716413,12.31343283582089,17.537313432835862,NA,NA,NA,NA,NA,4.477611940298509,NA,NA,26.865671641791085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3402/jev.v4.26316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016490706&doi=10.3402%2fjev.v4.26316&partnerID=40&md5=8a6344dffbdcd903aee2e7ddeff8c265,IV injection,lipid,DiR,,HEK293T,HEK,24h,,,No,Female NMRI or C57BL/6 mice,,"1.5e10, 1e10, or 0.25e10 for regular EVs. 2.9e10 for E-GFP",particles/g body weight,,% fluorescence,82.48407643312099,12.73885350318472,17.515923566879003,NA,NA,NA,NA,NA,4.777070063694269,NA,NA,31.52866242038214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s00125-016-3882-y,https://link-springer-com.libproxy.lib.unc.edu/article/10.1007/s00125-016-3882-y,IV injection,lipid,DIR,,HEK,HEK,24h,,,no,Male C57BL/6 mice Four-week-old ,"Healthy, but SCD enriched diet (20% palm oil and 18% protein)",Not mentioned???,,,% Fluoroscence,82.6057298772169,10.709413369713518,17.394270122783098,1.432469303676673,1.0231923601637147,NA,4.160982264665754,NA,NA,NA,NA,21.89631650750338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1002/jev2.12489,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198650461&doi=10.1002%2fjev2.12489&partnerID=40&md5=02be52f9ab43a3ba797cecea9da01345,IV injection,Fluoroscent,IRDye 800CW,,HEK293F,HEK,24h,IRDye800CW‐labelled EVMs ,,no,Male BALB/c nude (CAnN. Cg‐Foxn1 nu/CrlOri),Healthy Mouse,100000000000,particles in 100 uL,,SNR,72.54901168204564,22.54902231930017,27.450988317954344,62.74510095924634,3.4313719441561155,NA,NA,NA,NA,NA,NA,6.372549415897717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/s13287-023-03472-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171132470&doi=10.1186%2fs13287-023-03472-8&partnerID=40&md5=dd532ee95b5f75d38818b85bcdb3e7a10,IV injection,lipid,DiR,,HEK,HEK,24h,,Healthy Control,no,C57BL/6,Acute lung injury,15,ug,,Radient efficiency (p/s/cm2/sr) / (uW/cm2) x 10^6,39.97218174592656,1.7573283121700083,60.02781825407343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1007/s11307-020-01562-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096404947&doi=10.1007%2fs11307-020-01562-0&partnerID=40&md5=2ee18c4ab5db6a93f7c14351cfdef0ff,IV injection,lipid,DiR,,WJ-MSC,Stem cells,24h,,,No,C57BL/6,N/A,N/A ?,N/A ?,,Avg. Radiant Efficiency,44.14285714285717,14.857142857142902,55.85714285714284,2.857142857142865,2.0749999999999997,NA,11.285714285714297,2.4285714285714284,NA,2.4285714285714284,3.9999999999999973,NA,3.0000000000000018,2.857142857142865,1.7142857142857195,3.5714285714285747,NA,2.2857142857142922,NA,NA,NA,NA
10.1007/s11307-020-01562-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096404947&doi=10.1007%2fs11307-020-01562-0&partnerID=40&md5=2ee18c4ab5db6a93f7c14351cfdef0ff,IV injection,lipid,PKH25,,WJ-MSC,Stem cells,24h,,,No,C57BL/6,N/A,N/A ?,N/A ?,,Avg. Radiant Efficiency,81.69014084507039,52.11267605633818,18.309859154929608,47.887323943662025,22.535211267605675,NA,56.338028169014045,157.74647887323945,NA,40.845070422535194,347.88732394366235,NA,73.23943661971838,77.46478873239452,246.47887323943664,425.35211267605666,NA,14.084507042253541,NA,NA,NA,NA
